Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks,Fund Age (Years)
Aditya Birla SL India GenNext Fund(G),Chanchal Khandelwal,EQ-CONS,3,5891.5,1.85,Open Ended,2005-08-05,Nifty India Consumption - TRI,215.03,236.16,174.57,-0.4,-9.18,2.08,17.92,22.44,16.41,18.44,15.32,18.0,80.0,144198.0,66.78,15.93,16.68,FMCG,,,,9.85,1.14,1.91,0.72,11.88,Equity : Thematic - Consumption,1% on or before 30D Nil after 30D,20.0
Aditya Birla SL Infrastructure Fund(G),Mahesh Patil,EQ-INFRA,4,1187.6,2.25,Open Ended,2006-03-17,Nifty Infrastructure - TRI,95.37,102.31,76.25,-1.13,-7.17,-3.88,24.07,33.59,25.39,25.62,13.73,49.0,64.0,61544.0,39.59,19.43,36.52,Capital Goods,,,,14.67,1.06,1.48,1.07,18.95,Equity : Sectoral - Infrastructure,1% on or before 30D Nil after 30D,19.0
Aditya Birla SL Intl. Equity Fund(G),Dhaval Joshi,EQ-INTL,Unrated,187.7,2.54,Open Ended,2007-10-31,S&P Global 1200,34.63,36.1,31.36,-2.59,-3.37,7.13,7.24,7.91,4.46,7.97,7.82,81.0,74.0,156243.5,55.18,14.37,15.24,,,,,2.92,0.37,0.61,0.12,9.45,Equity : International,1% on or before 30D Nil after 30D,18.0
Aditya Birla SL Inv Inc-QS I-Reg(G),Mohit Sharma,DT-FMP,Unrated,28.3,1.08,Interval,2007-08-30,CRISIL Liquid Debt Index,32.9,32.9,30.65,0.62,1.75,3.49,7.36,7.27,6.77,5.46,6.16,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.11,,,3.25,11.11,23.54,0.01,0.3,Debt : FTP/FMP,Nil,18.0
Aditya Birla SL Liquid Fund(G),Kaustubh Gupta,DT-LIQ,3,39882.7,0.34,Open Ended,2004-03-30,Nifty Liquid Fund Index,406.73,406.73,378.97,0.59,1.74,3.54,7.35,7.19,6.41,5.34,6.35,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.12,0.12,7.18,0.76,9.85,5.44,0.88,0.08,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D,21.0
Aditya Birla SL Long Duration Fund-Reg(G),Harshil Suvarnkar,DT-LD,Unrated,154.9,1.09,Open Ended,2022-08-08,NIFTY Long Duration Debt Index,12.26,12.31,11.06,0.4,0.23,4.27,10.57,8.78,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,28.36,10.8,7.2,1.79,2.33,4.19,1.44,2.6,Debt : Long Duration,Nil,3.0
Aditya Birla SL Low Duration Fund(G),Kaustubh Gupta,DT-LOWD,3,11710.6,1.23,Open Ended,1998-05-14,NIFTY Low Duration Debt Index,632.5,632.5,590.76,0.58,1.67,3.46,7.09,6.9,6.03,5.84,6.74,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.25,0.94,7.66,2.8,9.02,18.57,0.08,0.33,Debt : Low Duration,Nil,27.0
Aditya Birla SL Medium Term Plan-Reg(G),Sunaina da Cunha,DT-MD,2,2004.0,1.58,Open Ended,2009-03-25,CRISIL Medium Duration Debt Index,37.2,37.2,33.62,0.51,3.0,5.99,10.5,8.66,13.79,11.26,8.38,0.0,1.0,156243.5,55.18,14.37,15.24,Not Applicable,4.71,3.64,7.77,4.36,2.84,9.5,0.62,2.19,Debt : Medium Duration,Nil upto 15% of units For remaining units 2% on or before 1Y 1 % after 1Y but on or before 2Y Nil after 2Y,16.0
Aditya Birla SL Mfg. Equity Fund-Reg(G),Harish krishnan,EQ-CONS,4,1197.5,2.24,Open Ended,2015-02-03,BSE India Manufacturing Index - TRI,32.93,35.02,25.61,-0.03,-6.94,2.26,25.74,29.54,18.48,20.44,,32.0,67.0,65318.0,42.19,21.35,35.07,Automobile and Ancillaries,,,,16.18,1.28,1.88,0.94,16.29,Equity : Thematic - Consumption,1% on or before 90D Nil after 90D,10.0
Aditya Birla SL Midcap Fund(G),Vishal Gajwani,EQ-MID,2,5930.0,1.87,Open Ended,2002-10-03,Nifty Midcap 150 - TRI,783.11,842.23,609.63,-0.2,-8.34,1.24,21.79,31.3,17.91,22.8,14.35,31.0,83.0,45990.0,9.14,66.62,21.86,Financials,,,,13.26,1.12,1.66,0.86,15.71,Equity : Mid Cap,1% on or before 90D Nil after 90D,23.0
Aditya Birla SL MNC Fund-Reg(G),Chanchal Khandelwal,EQ-MNC,Unrated,3889.1,2.0,Open Ended,1999-12-27,NIFTY MNC - TRI,1353.05,1477.27,1104.76,-1.34,-8.41,-2.81,17.23,20.27,11.28,11.44,10.34,15.0,65.0,43510.0,24.66,30.82,43.18,Automobile and Ancillaries,,,,10.16,1.06,1.65,0.61,12.44,Equity : Thematic - MNC,1% on or before 90D Nil after 90D,26.0
Aditya Birla SL Money Manager Fund(G),Kaustubh Gupta,DT-MM,5,22772.2,0.35,Open Ended,2005-10-13,CRISIL Money Market Index,356.04,356.04,330.55,0.64,1.79,3.7,7.73,7.58,6.67,6.09,6.92,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.4,0.39,7.39,3.55,11.23,22.77,0.03,0.33,Debt : Money Market,Nil,20.0
Aditya Birla SL Multi Asset Allocation Fund-Reg(G),Dhaval Gala,HY-MULTI,Unrated,3695.4,1.85,Open Ended,2023-01-31,BSE 200,13.87,14.45,11.79,-0.08,-3.57,2.45,16.2,15.99,,,,0.0,53.0,156269.0,38.99,12.33,13.12,Financials,1.56,1.39,7.35,7.08,1.26,1.86,1.53,9.2,Hybrid : Multi Asset Allocation,1% on or before 365D Nil after 365D,2.0
Aditya Birla SL Multi-Cap Fund-Reg(G),Abhinav Khandelwal,EQ-MLC,Unrated,6297.6,1.83,Open Ended,2021-05-07,Nifty500 Multicap 50:25:25 - TRI,19.77,20.72,15.69,-0.05,-5.61,1.83,22.54,25.92,16.71,,,43.0,74.0,89092.0,43.7,24.39,28.81,Financials,,,,13.46,1.28,1.86,0.87,13.94,Equity : Multi Cap,1% on or before 90D Nil after 90D,4.0
Aditya Birla SL Multi-Index FoF-Reg(G),Vinod Narayan Bhat,FOF-DOM,Unrated,17.9,0.63,Open Ended,2022-10-17,NIFTY 500 - TRI,15.03,15.73,12.59,-0.24,-4.19,0.67,18.13,21.6,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,9.05,1.16,1.67,1.67,12.0,FoFs : Domestic,0.50% on or before 15D Nil after 15D,3.0
Aditya Birla SL NASDAQ 100 FOF-Reg(G),Dhaval Joshi,FOF-OVR,Unrated,406.5,0.62,Open Ended,2021-11-01,Nasdaq-100 - TRI,14.83,15.22,11.12,3.07,10.14,10.71,29.08,41.36,13.56,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,20.19,1.4,2.27,1.14,16.88,FoFs : Overseas,Nil,4.0
Aditya Birla SL Nifty 200 Momentum 30 ETF,Priya Sridhar,EQ-ETF,Unrated,71.4,0.32,Open Ended,2022-08-12,Nifty200 Momentum 30 - TRI,33.87,38.55,27.64,-4.02,-12.83,-7.5,20.64,31.63,,,,18.0,30.0,199233.0,86.88,12.88,15.24,Automobile and Ancillaries,,,,11.49,0.8,1.18,1.24,22.12,Equity : ETFs,,3.0
Aditya Birla SL Nifty 200 Quality 30 ETF,Priya Sridhar,EQ-ETF,Unrated,54.8,0.3,Open Ended,2022-08-12,NIFTY200 Quality 30 - TRI,21.68,24.0,18.39,-2.1,-10.67,-0.02,14.05,23.52,,,,18.0,30.0,211030.0,75.14,23.7,0.94,Technology,,,,6.6,0.78,1.3,0.76,13.33,Equity : ETFs,,3.0
Aditya Birla SL Nifty 50 Equal Weight Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,342.4,1.02,Open Ended,2021-06-08,NIFTY50 Equal Weight - TRI,16.9,18.92,14.8,-1.61,-11.73,-3.13,9.78,20.38,15.71,,,45.0,50.0,290187.0,95.9,3.65,15.24,Financials,,,,1.69,0.46,0.7,0.96,14.34,Equity : Index Funds,Nil,4.0
Aditya Birla SL Nifty 50 ETF,Priya Sridhar,EQ-ETF,Unrated,2795.2,0.06,Open Ended,2011-07-21,NIFTY 50 - TRI,27.79,30.07,24.15,-1.61,-7.82,-1.25,10.39,16.49,12.94,15.71,12.37,1.0,50.0,555831.0,98.61,1.24,15.24,Financials,,,,1.94,0.5,0.76,0.99,13.96,Equity : ETFs,Nil,14.0
Aditya Birla SL Nifty 50 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,3,975.0,0.47,Open Ended,2002-09-18,NIFTY 50 - TRI,243.22,263.52,212.25,-1.65,-7.92,-1.46,9.9,15.9,12.3,15.04,11.42,12.0,50.0,555830.0,98.52,1.24,15.24,Financials,,,,1.49,0.47,0.71,0.99,13.96,Equity : Index Funds,Nil,23.0
Aditya Birla SL Nifty Bank ETF,Priya Sridhar,EQ-ETF,Unrated,2694.6,0.17,Open Ended,2019-10-23,NIFTY BANK - TRI,52.39,55.23,45.23,-1.94,-3.56,-2.71,6.58,10.04,14.01,10.09,,18.0,12.0,538944.0,86.41,13.57,15.24,Financials,,,,-1.69,0.22,0.32,1.08,17.36,Equity : ETFs,,6.0
Aditya Birla SL Nifty Healthcare ETF,Priya Sridhar,EQ-ETF,Unrated,42.0,0.22,Open Ended,2021-10-21,Nifty Healthcare Index - TRI,15.4,15.4,10.96,6.14,1.69,19.34,41.9,38.54,19.73,,,18.0,20.0,120198.0,54.9,39.52,5.38,Healthcare,,,,30.49,2.29,4.26,0.46,14.33,Equity : ETFs,,4.0
Aditya Birla SL Nifty India Defence Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,408.7,1.06,Open Ended,2024-08-30,Nifty India Defence - TRI,9.39,10.17,8.57,-2.72,-1.66,3.25,11.97,15.99,,,,18.0,16.0,77293.0,41.41,35.51,22.76,Capital Goods,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.05% on or before 30D Nil after 30D,1.0
Aditya Birla SL Nifty IT ETF,Priya Sridhar,EQ-ETF,Unrated,52.2,0.21,Open Ended,2021-10-29,NIFTY IT - TRI,46.51,48.24,33.71,0.5,2.72,18.31,23.3,26.07,6.36,,,18.0,10.0,429391.0,83.72,16.14,15.24,Technology,,,,15.88,1.01,1.83,0.75,19.5,Equity : ETFs,,4.0
Aditya Birla SL Nifty Midcap 150 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,298.1,1.01,Open Ended,2021-04-05,Nifty Midcap 150 - TRI,23.65,24.82,18.74,1.52,-5.21,0.81,23.62,33.63,22.67,,,18.0,151.0,58755.0,6.43,86.6,6.76,Financials,,,,14.79,1.12,1.61,0.96,17.51,Equity : Index Funds,0.25% on or before 15D Nil after 15D,4.0
Aditya Birla SL Nifty Next 50 ETF,Priya Sridhar,EQ-ETF,Unrated,63.2,0.17,Open Ended,2018-12-18,NIFTY NEXT 50 - TRI,71.77,80.59,54.94,-3.31,-11.43,-5.09,28.75,28.61,18.61,20.04,,18.0,50.0,143048.0,88.01,11.73,15.24,Financials,,,,18.07,1.18,1.71,1.14,20.17,Equity : ETFs,,7.0
Aditya Birla SL Nifty Next 50 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,167.1,0.88,Open Ended,2022-02-18,NIFTY NEXT 50 - TRI,16.72,18.87,12.97,-3.71,-11.9,-5.78,26.95,27.09,,,,18.0,50.0,143043.0,88.49,11.79,15.24,Financials,,,,16.63,1.11,1.61,1.14,20.15,Equity : Index Funds,Nil,3.0
Aditya Birla SL Nifty PSE ETF,Priya Sridhar,EQ-ETF,Unrated,32.1,0.2,Open Ended,2024-05-17,NIFTY PSE,9.79,11.73,9.47,-5.53,-14.62,-10.1,11.97,15.99,,,,18.0,20.0,195664.0,82.4,16.83,15.24,Energy,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Aditya Birla SL Nifty SDL Apr 2027 Index Fund-Reg(G),Bhupesh Bameta,DT-M&LD,Unrated,4168.0,0.5,Open Ended,2022-01-28,Nifty SDL Apr 2027 Index,11.8,11.8,10.94,0.54,1.46,3.78,7.92,7.3,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.0,1.81,7.02,3.07,5.82,13.61,0.23,0.64,Debt : Medium to Long Duration,Nil,3.0
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,9654.4,0.36,Open Ended,2021-09-24,Nifty SDL Plus PSU Bond Sep 2026 60:40 Index,11.84,11.84,11.0,0.56,1.6,3.76,7.71,7.27,5.51,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.58,1.42,7.25,3.07,6.89,16.28,0.18,0.52,Debt : Medium to Long Duration,Nil,4.0
Aditya Birla SL Nifty SDL Sep 2025 Index Fund-Reg(G),Bhupesh Bameta,DT-MD,Unrated,66.9,0.35,Open Ended,2022-09-28,Nifty SDL Sep 2025 Index,11.71,11.71,10.91,0.55,1.53,3.51,7.39,7.11,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.6,0.56,6.9,3.07,8.07,18.6,0.07,0.41,Debt : Medium Duration,Nil,3.0
Aditya Birla SL Nifty SDL Sep 2027 Index Fund-Reg(G),Harshil Suvarnkar,DT-MD,Unrated,40.5,0.5,Open Ended,2023-03-10,Nifty SDL Sep 2027 Index,11.5,11.5,10.63,0.56,1.45,3.9,8.22,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.63,2.34,6.99,3.02,4.82,10.58,0.33,0.83,Debt : Medium Duration,Nil,2.0
Aditya Birla SL Nifty Smallcap 50 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,239.3,1.01,Open Ended,2021-04-05,Nifty Smallcap 50 - TRI,21.65,22.62,15.88,0.15,-3.06,3.27,24.67,42.36,18.51,,,18.0,50.0,24440.0,55.18,15.06,84.84,Financials,,,,15.9,1.0,1.47,1.04,21.08,Equity : Index Funds,0.25% on or before 15D Nil after 15D,4.0
Aditya Birla SL Overnight Fund-Reg(G),Kaustubh Gupta,DT-ON,4,8152.9,0.19,Open Ended,2018-11-01,CRISIL Liquid Overnight Index,1350.31,1350.31,1266.86,0.55,1.6,3.23,6.61,6.59,5.93,4.82,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.01,0.01,6.66,0.25,30.11,1.94,0.88,0.01,Debt : Overnight,Nil,7.0
Aditya Birla SL Pharma & Healthcare Fund-Reg(G),Dhaval Shah,EQ-PHRM,Unrated,854.3,2.29,Open Ended,2019-07-10,BSE Health Care - TRI,32.34,32.74,24.14,4.38,-0.46,18.86,35.81,37.38,18.03,24.66,,21.0,27.0,59685.0,35.72,37.65,24.45,Healthcare,,,,26.26,2.29,4.19,0.41,12.36,Equity : Sectoral - Pharma,1% on or before 30D Nil after 30D,6.0
Aditya Birla SL PSU Equity Fund-Reg(G),Dhaval Gala,EQ-THEM,Unrated,5531.9,1.79,Open Ended,2019-12-30,BSE PSU - TRI,31.97,37.55,27.78,-5.14,-12.65,-11.0,13.52,35.18,33.35,25.91,,29.0,37.0,158503.0,65.15,21.23,8.79,Energy,,,,6.27,0.51,0.69,1.4,26.18,Equity : Thematic,1% on or before 30D Nil after 30D,6.0
Aditya Birla SL Pure Value Fund(G),Kunal Sangoi,EQ-VAL,3,6377.8,1.87,Open Ended,2008-03-27,NIFTY 500 - TRI,128.84,136.82,106.81,-0.39,-6.85,1.68,18.74,31.08,21.36,22.18,12.71,55.0,77.0,70642.0,43.85,14.49,40.59,Financials,,,,10.23,0.88,1.22,1.08,17.9,Equity : Value / Contra,1% on or before 90D Nil after 90D,17.0
Aditya Birla SL Quant Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,2593.9,1.95,Open Ended,2024-06-28,NIFTY 200 - TRI,9.73,10.71,9.19,0.95,-10.13,-4.3,11.97,15.99,,,,18.0,44.0,106093.0,48.02,51.3,15.24,Energy,,,,4.33,1.34,2.01,0.88,12.37,Equity : Thematic,0.50% on or before 90D Nil after 90D,1.0
Aditya Birla SL Regular Savings Fund(G),Mohit Sharma,HY-DT(CO),3,1410.6,1.91,Open Ended,2004-05-22,CRISIL Hybrid 85+15 - Conservative Index,64.11,64.43,57.58,0.15,0.21,4.14,10.51,10.1,8.55,9.55,8.44,140.0,38.0,205694.0,14.27,2.73,4.3,Financials,7.62,4.46,7.38,3.91,1.85,2.85,0.8,3.4,Hybrid : Debt Oriented (Conservative),1% on or before 90D Nil after 90D,21.0
Aditya Birla SL Retirement Fund-30-Reg(G),Jonas Bhutta,HY-SOL,3,401.3,2.41,Open Ended,2019-03-11,NIFTY 500 - TRI,19.43,20.52,15.95,-0.86,-6.13,2.16,17.79,20.23,13.33,13.26,,47.0,49.0,129674.0,53.46,18.44,24.97,Financials,,,,6.98,0.98,1.4,2.32,14.1,Hybrid : Solution Oriented,Nil,6.0
Aditya Birla SL Retirement Fund-40-Reg(G),Chanchal Khandelwal,HY-SOL,Unrated,113.0,2.38,Open Ended,2019-03-11,CRISIL Hybrid 35+65 - Aggressive Index,18.64,18.81,15.5,1.88,-1.48,5.31,17.51,18.83,12.36,12.31,,29.0,45.0,166023.0,44.86,13.81,15.7,Financials,8.78,4.41,6.89,7.64,1.22,1.8,1.86,10.72,Hybrid : Solution Oriented,Nil,6.0
Aditya Birla SL Retirement Fund-50 Plus-Debt Plan-Reg(G),Harshil Suvarnkar,HY-SOL,Unrated,15.7,2.07,Open Ended,2019-03-11,CRISIL Short Term Bond Index,12.75,12.76,12.02,0.38,0.93,3.03,6.08,5.59,4.04,4.05,,0.0,50.0,156243.5,55.18,14.37,15.24,,7.04,3.79,6.94,0.91,2.62,5.62,0.36,0.76,Hybrid : Solution Oriented,Nil,6.0
Aditya Birla SL Retirement Fund-50-Reg(G),Mohit Sharma,HY-SOL,Unrated,25.9,1.91,Open Ended,2019-03-11,CRISIL Short Term Debt Hybrid 75+25 Index,14.09,14.18,12.82,0.02,-0.64,3.32,9.17,9.65,6.91,6.03,,11.0,41.0,144731.0,14.85,4.05,5.65,Financials,3.69,2.77,6.88,2.44,1.4,2.07,0.87,3.61,Hybrid : Solution Oriented,Nil,6.0
Aditya Birla SL Savings Fund-Reg(G),Kaustubh Gupta,DT-USD,5,16348.8,0.55,Open Ended,2003-04-16,NIFTY Ultra Short Duration Debt Index,527.59,527.59,489.44,0.71,1.95,3.83,7.81,7.5,6.59,6.12,7.19,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.69,0.48,7.66,3.68,11.46,22.34,0.02,0.33,Debt : Ultra Short Duration,Nil,22.0
Aditya Birla SL Short Term Fund(G),Kaustubh Gupta,DT-SD,4,8598.7,1.01,Open Ended,2003-05-09,Nifty Short Duration Debt Index,45.53,45.53,42.18,0.59,1.58,4.04,7.92,7.37,6.3,6.71,7.38,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,3.72,2.84,7.65,2.6,5.09,10.33,0.39,0.74,Debt : Short Duration,Nil,22.0
Aditya Birla SL Silver ETF,Sachin Wankhede,GOLD-ETF,Unrated,485.1,0.35,Open Ended,2022-01-31,Silver,88.24,99.86,70.48,-3.79,-4.5,-2.11,16.03,10.03,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,12.22,0.62,1.07,0.71,22.99,Gold : ETFs,,3.0
Aditya Birla SL Silver ETF FOF-Reg(G),Priya Sridhar,FOF-DOM,Unrated,174.0,0.67,Open Ended,2022-02-03,Silver,13.61,15.52,11.1,-3.44,-4.2,-2.17,15.15,11.08,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,11.64,0.6,1.07,0.57,22.26,FoFs : Domestic,0.50% on or before 30D Nil after 30D,3.0
Aditya Birla SL Small Cap Fund(G),Abhinav Khandelwal,EQ-SML,1,5159.6,1.89,Open Ended,2007-05-31,BSE 250 Small Cap - TRI,89.33,94.03,68.55,-0.15,-5.34,0.74,21.83,30.5,17.09,23.3,14.37,34.0,99.0,13818.0,0.41,11.74,83.3,Capital Goods,,,,13.89,1.05,1.52,0.82,17.21,Equity : Small Cap,1% on or before 90D Nil after 90D,18.0
Aditya Birla SL Special Opp Fund-Reg(G),Dhaval Gala,EQ-THEM,Unrated,778.6,2.38,Open Ended,2020-10-23,BSE 500 - TRI,24.02,25.56,19.38,-0.59,-6.55,2.6,21.81,24.13,15.35,,,26.0,64.0,108535.0,50.79,18.37,26.35,Financials,,,,12.55,1.19,1.77,0.92,14.45,Equity : Thematic,1% on or before 30D Nil after 30D,5.0
Aditya Birla SL Transportation and Logistics Fund-Reg(G),Dhaval Gala,EQ-AUTO,Unrated,1567.7,2.07,Open Ended,2023-11-17,Nifty Transportation & Logistics - TRI,13.97,16.02,10.88,-1.73,-13.54,-6.18,24.95,15.99,,,,18.0,33.0,95148.0,65.99,9.56,21.39,Automobile and Ancillaries,,,,15.5,1.21,1.87,0.93,16.73,Equity : Sectoral - Auto,1% on or before 365D Nil after 365D,2.0
Aditya Birla SL US Treasury 1-3 year Bond ETFs FoF-Reg(G),Vighnesh Gupta,DT-ETF,Unrated,85.2,0.23,Open Ended,2023-10-31,Bloomberg US Treasury 1-3 Year Index,10.9,10.9,10.13,1.52,1.99,5.47,6.92,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.94,1.85,4.24,2.39,1.14,2.17,0.14,2.48,Debt : ETFs,0.25% on or before 30D Nil after 30D,2.0
Aditya Birla SL US Treasury 3-10 year Bond ETFs FoF-Reg(G),Vighnesh Gupta,DT-ETF,Unrated,185.4,0.2,Open Ended,2023-10-31,Bloomberg US Treasury 3-10 Year Index,10.98,11.13,10.23,0.34,-0.9,4.94,4.22,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,5.75,5.06,4.16,-2.04,0.06,0.11,0.8,5.15,Debt : ETFs,0.25% on or before 30D Nil after 30D,2.0
Axis Aggressive Hybrid Fund-Reg(G),Jayesh Sundar,HY-EQ,3,1615.7,2.14,Open Ended,2018-08-09,CRISIL Hybrid 35+65 - Aggressive Index,20.11,21.09,16.85,-1.05,-5.16,2.69,15.08,15.27,8.1,12.28,,0.0,78.0,229957.0,52.87,8.54,12.54,Financials,14.87,6.43,7.53,5.49,1.01,1.52,1.79,10.53,Hybrid : Equity Oriented,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M,7.0
Axis All Seasons Debt FOFs-Reg(G),Devang Shah,FOF-DOM,Unrated,141.5,0.48,Open Ended,2020-01-28,NIFTY Composite Debt Index,13.74,13.78,12.62,0.33,0.28,3.98,8.8,7.64,6.25,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,1.03,2.07,3.47,1.17,2.16,FoFs : Domestic,Nil for 10% of investment and 0.50% for remaining investment on or before 3M Nil after 3M,5.0
Axis Arbitrage Fund-Reg(G),Karthik Kumar,HY-ARB,3,5591.9,1.0,Open Ended,2014-08-14,Nifty 50 Arbitrage,18.09,18.09,16.83,0.64,1.8,3.41,7.52,7.22,6.21,5.29,5.79,0.0,146.0,186113.0,49.3,17.04,5.93,Financials,0.44,0.43,7.41,3.55,3.46,8.08,-0.09,0.95,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D,11.0
Axis Balanced Advantage Fund-Reg(G),Jayesh Sundar,HY-DYN,2,2599.2,1.99,Open Ended,2017-08-01,NIFTY 50 Hybrid Composite Debt 50:50 Index,20.51,20.97,17.11,-0.25,-2.59,3.78,18.0,19.27,12.4,12.49,,0.0,85.0,307216.0,54.72,7.13,4.7,Financials,16.32,6.49,7.5,7.99,1.45,2.17,1.69,8.88,Hybrid : Dynamic Asset Allocation,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M,8.0
Axis Banking & PSU Debt Fund-Reg(G),Aditya Pagaria,DT-B&PSU,3,13044.5,0.63,Open Ended,2012-06-08,NIFTY Banking and PSU Debt Index,2521.38,2521.38,2345.55,0.53,1.52,3.9,7.49,7.02,5.92,6.11,7.27,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,3.59,2.76,7.35,2.67,5.9,12.28,0.24,0.57,Debt : Banking & PSU,Nil,13.0
Axis Bluechip Fund-Reg(G),Shreyash Devalkar,EQ-LC,3,33547.4,1.57,Open Ended,2010-01-05,BSE 100 - TRI,59.52,64.04,50.3,-0.41,-6.87,-0.36,14.29,16.59,8.72,13.1,11.72,51.0,54.0,444025.0,85.44,4.31,15.24,Financials,,,,5.64,0.78,1.23,0.89,12.95,Equity : Large Cap,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M,15.0
Axis BSE Sensex ETF,Karthik Kumar,EQ-ETF,Unrated,128.9,0.07,Open Ended,2023-03-24,BSE SENSEX - TRI,81.39,87.24,70.92,-1.62,-6.67,-0.81,9.77,15.99,,,,18.0,30.0,684559.0,99.19,0.72,15.24,Financials,,,,1.71,0.45,0.7,0.99,13.77,Equity : ETFs,,2.0
Axis BSE Sensex Index Fund-Reg(G),Karthik Kumar,EQ-INDX,Unrated,46.8,0.7,Open Ended,2024-02-27,BSE SENSEX - TRI,10.98,11.8,9.86,-1.68,-6.85,-1.15,11.97,15.99,,,,18.0,30.0,684650.0,99.11,0.71,15.24,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 7D Nil after 7D,1.0
Axis Business Cycles Fund-Reg(G),Ashish Naik,EQ-THEM,Unrated,2611.7,1.97,Open Ended,2023-02-22,NIFTY 500 - TRI,16.4,17.26,13.15,-0.31,-5.43,0.68,19.99,15.99,,,,110.0,87.0,141178.0,59.31,15.03,22.86,Financials,,,,10.81,1.01,1.45,0.96,15.38,Equity : Thematic,Nil for 10% of investment and 1% for remaining investments on or before 12M Nil after 12M,2.0
Axis Childrens Fund-Compulsory Lock in-Reg(G),Jayesh Sundar,HY-SOL,4,900.8,2.27,Open Ended,2015-12-08,NIFTY 50 Hybrid Composite Debt 65:35 Index,25.63,26.64,21.53,-0.62,-4.2,3.43,14.7,14.58,6.83,12.18,,0.0,71.0,193009.0,48.1,9.67,14.04,Financials,20.19,8.48,7.2,4.99,1.0,1.48,1.86,10.4,Hybrid : Solution Oriented,Nil,10.0
Axis Childrens Fund-No Lock in-Reg(G),Jayesh Sundar,HY-SOL,3,900.8,2.27,Open Ended,2015-12-08,NIFTY 50 Hybrid Composite Debt 65:35 Index,25.63,26.64,21.53,-0.62,-4.2,3.43,14.7,14.58,6.83,12.18,,0.0,71.0,193009.0,48.1,9.67,14.04,Financials,20.19,8.48,7.2,4.99,1.0,1.48,1.86,10.4,Hybrid : Solution Oriented,3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y,10.0
